CHECK_A,DURATION,C_HIST,PURPOSE,AMOUNT,SAVE_A,EMPLOY,INSTALL_R,PERSONAL,GUARANTEE,RESIDENCE,PROPERTY,AGE,INSTALL_P,HOUSING,N_EXIST,JOB,N_PEOPLE,TEL,FOREIGN,CREDIT
NO_CHECK_A,18,critical_acc,car_new,1055,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,1,savings,30,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,15,existing_paid,dom_app,1262,500_1000DM,4to7YR,4,MALE_SINGLE,none,3,savings,36,none,own,2,skilled_office,1,yes,yes,0
0to200DM,10,existing_paid,car_new,7308,lt_100DM,unemployed,2,MALE_SINGLE,none,4,no_property,70,bank,for_free,1,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,36,existing_paid,car_new,909,500_1000DM,GT_7YR,4,MALE_SINGLE,none,4,savings,36,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,6,existing_paid,furn_equip,2978,500_1000DM,1to4YR,1,MALE_SINGLE,none,2,vehicle,32,none,own,1,skilled_office,1,yes,yes,0
LT_0DM,18,existing_paid,furn_equip,1131,lt_100DM,unemployed,4,FEMALE_DIVORCED,none,2,vehicle,33,none,own,1,skilled_office,1,none,yes,1
0to200DM,11,existing_paid,furn_equip,1577,GT_1000DM,LT_1YR,4,FEMALE_DIVORCED,none,1,real_estate,20,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,24,existing_paid,furn_equip,3972,lt_100DM,4to7YR,2,FEMALE_DIVORCED,none,4,savings,25,none,rent,1,skilled_office,1,yes,yes,0
0to200DM,24,critical_acc,business,1935,lt_100DM,GT_7YR,4,MALE_DIVORCED,none,4,real_estate,31,none,own,2,skilled_office,1,yes,yes,1
LT_0DM,15,no_credit,car_new,950,lt_100DM,GT_7YR,4,MALE_SINGLE,none,3,vehicle,33,none,rent,2,skilled_office,2,none,yes,1
NO_CHECK_A,12,existing_paid,furn_equip,763,lt_100DM,1to4YR,4,FEMALE_DIVORCED,none,1,real_estate,26,none,own,1,skilled_office,1,yes,yes,0
0to200DM,24,delay_in_past,furn_equip,2064,lt_100DM,unemployed,3,FEMALE_DIVORCED,none,2,savings,34,none,own,1,mgmt_selfemp,1,yes,yes,1
0to200DM,8,existing_paid,radio_tv,1414,lt_100DM,1to4YR,4,MALE_SINGLE,guarantor,2,real_estate,33,none,own,1,skilled_office,1,none,no,0
LT_0DM,21,delay_in_past,education,3414,lt_100DM,LT_1YR,2,MALE_SINGLE,none,1,savings,26,none,own,2,skilled_office,1,none,yes,1
NO_CHECK_A,30,credit_thisbank_paid,car_used,7485,NO_SAVINGS_ACC,unemployed,4,FEMALE_DIVORCED,none,1,real_estate,53,bank,own,1,mgmt_selfemp,1,yes,yes,1
LT_0DM,12,existing_paid,furn_equip,2577,lt_100DM,1to4YR,2,MALE_DIVORCED,none,1,vehicle,42,none,own,1,skilled_office,1,none,yes,0
LT_0DM,6,critical_acc,radio_tv,338,500_1000DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,52,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,1963,lt_100DM,4to7YR,4,MALE_SINGLE,none,2,vehicle,31,none,rent,2,mgmt_selfemp,2,yes,yes,0
LT_0DM,21,critical_acc,car_new,571,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,65,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,36,delay_in_past,business,9572,lt_100DM,LT_1YR,1,MALE_DIVORCED,none,1,vehicle,28,none,own,2,skilled_office,1,none,yes,1
0to200DM,36,delay_in_past,business,4455,lt_100DM,1to4YR,2,MALE_DIVORCED,none,2,real_estate,30,stores,own,2,mgmt_selfemp,1,yes,yes,1
LT_0DM,21,credit_thisbank_paid,car_new,1647,NO_SAVINGS_ACC,1to4YR,4,MALE_SINGLE,none,2,savings,40,none,own,2,unskilled_res,2,none,yes,1
NO_CHECK_A,24,critical_acc,furn_equip,3777,GT_1000DM,1to4YR,4,MALE_SINGLE,none,4,real_estate,50,none,own,1,skilled_office,1,yes,yes,0
0to200DM,18,critical_acc,car_new,884,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,36,bank,own,1,skilled_office,2,yes,yes,1
NO_CHECK_A,15,critical_acc,radio_tv,1360,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,savings,31,none,own,2,skilled_office,1,none,yes,0
0to200DM,9,credit_thisbank_paid,car_used,5129,lt_100DM,GT_7YR,2,FEMALE_DIVORCED,none,4,no_property,74,bank,for_free,1,mgmt_selfemp,2,yes,yes,1
0to200DM,16,critical_acc,car_new,1175,lt_100DM,unemployed,2,MALE_SINGLE,none,3,vehicle,68,none,for_free,3,unskilled_non_res,1,yes,yes,0
LT_0DM,12,existing_paid,radio_tv,674,100_500DM,4to7YR,4,MALE_MARRIED,none,1,savings,20,none,own,1,skilled_office,1,none,yes,1
0to200DM,18,no_credit,furn_equip,3244,lt_100DM,1to4YR,1,FEMALE_DIVORCED,none,4,vehicle,33,bank,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,24,existing_paid,business,4591,GT_1000DM,1to4YR,2,MALE_SINGLE,none,3,savings,54,none,own,3,mgmt_selfemp,1,yes,yes,1
0to200DM,48,no_credit,business,3844,100_500DM,4to7YR,4,MALE_SINGLE,none,4,no_property,34,none,for_free,1,unskilled_res,2,none,yes,1
0to200DM,27,existing_paid,business,3915,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,36,none,own,1,skilled_office,2,yes,yes,1
NO_CHECK_A,6,existing_paid,radio_tv,2108,lt_100DM,4to7YR,2,MALE_MARRIED,none,2,real_estate,29,none,rent,1,skilled_office,1,none,yes,0
0to200DM,45,existing_paid,radio_tv,3031,100_500DM,1to4YR,4,MALE_SINGLE,guarantor,4,savings,21,none,rent,1,skilled_office,1,none,yes,1
0to200DM,9,critical_acc,education,1501,lt_100DM,GT_7YR,2,FEMALE_DIVORCED,none,3,vehicle,34,none,own,2,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,6,critical_acc,radio_tv,1382,lt_100DM,1to4YR,1,FEMALE_DIVORCED,none,1,vehicle,28,none,own,2,skilled_office,1,yes,yes,0
0to200DM,12,existing_paid,furn_equip,951,100_500DM,LT_1YR,4,FEMALE_DIVORCED,none,4,vehicle,27,bank,rent,4,skilled_office,1,none,yes,1
0to200DM,24,existing_paid,car_used,2760,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,no_property,36,bank,for_free,1,skilled_office,1,yes,yes,0
0to200DM,18,delay_in_past,furn_equip,4297,lt_100DM,GT_7YR,4,MALE_DIVORCED,none,3,no_property,40,none,own,1,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,9,critical_acc,education,936,500_1000DM,GT_7YR,4,MALE_SINGLE,none,2,vehicle,52,none,own,2,skilled_office,1,yes,yes,0
LT_0DM,12,existing_paid,car_new,1168,lt_100DM,1to4YR,4,MALE_MARRIED,none,3,real_estate,27,none,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,27,delay_in_past,business,5117,lt_100DM,4to7YR,3,MALE_SINGLE,none,4,vehicle,26,none,own,2,skilled_office,1,none,yes,0
LT_0DM,12,existing_paid,retrain,902,lt_100DM,4to7YR,4,MALE_MARRIED,none,4,savings,21,none,rent,1,skilled_office,1,none,yes,1
NO_CHECK_A,12,critical_acc,car_new,1495,lt_100DM,GT_7YR,4,MALE_SINGLE,none,1,real_estate,38,none,own,2,unskilled_res,2,none,yes,0
LT_0DM,30,critical_acc,car_used,10623,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,no_property,38,none,for_free,3,mgmt_selfemp,2,yes,yes,0
NO_CHECK_A,12,critical_acc,furn_equip,1935,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,43,none,own,3,skilled_office,1,yes,yes,0
0to200DM,12,critical_acc,dom_app,1424,lt_100DM,4to7YR,4,MALE_SINGLE,none,3,savings,26,none,own,1,skilled_office,1,none,yes,0
LT_0DM,24,existing_paid,business,6568,lt_100DM,1to4YR,2,MALE_MARRIED,none,2,vehicle,21,stores,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,12,existing_paid,car_used,1413,GT_1000DM,4to7YR,3,MALE_SINGLE,none,2,savings,55,none,own,1,skilled_office,1,none,no,0
NO_CHECK_A,9,critical_acc,radio_tv,3074,NO_SAVINGS_ACC,1to4YR,1,MALE_SINGLE,none,2,real_estate,33,none,own,2,skilled_office,2,none,yes,0
NO_CHECK_A,36,existing_paid,radio_tv,3835,NO_SAVINGS_ACC,GT_7YR,2,FEMALE_DIVORCED,none,4,real_estate,45,none,own,1,unskilled_res,1,yes,yes,0
LT_0DM,27,no_credit,business,5293,lt_100DM,unemployed,2,MALE_SINGLE,none,4,savings,50,stores,own,2,skilled_office,1,yes,yes,1
GT_200DM,30,delay_in_past,business,1908,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,66,none,own,1,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,36,critical_acc,radio_tv,3342,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,2,vehicle,51,none,own,1,skilled_office,1,yes,yes,0
0to200DM,6,critical_acc,retrain,932,NO_SAVINGS_ACC,4to7YR,1,FEMALE_DIVORCED,none,3,savings,39,none,own,2,unskilled_res,1,none,yes,0
LT_0DM,18,no_credit,business,3104,lt_100DM,4to7YR,3,MALE_SINGLE,none,1,savings,31,bank,own,1,skilled_office,1,yes,yes,0
GT_200DM,36,existing_paid,radio_tv,3913,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,real_estate,23,none,own,1,skilled_office,1,yes,yes,0
LT_0DM,24,existing_paid,furn_equip,3021,lt_100DM,1to4YR,2,MALE_DIVORCED,none,2,real_estate,24,none,rent,1,unskilled_res,1,none,yes,0
NO_CHECK_A,10,existing_paid,car_new,1364,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,4,vehicle,64,none,own,1,skilled_office,1,yes,yes,0
0to200DM,12,existing_paid,radio_tv,625,lt_100DM,LT_1YR,4,MALE_MARRIED,guarantor,1,real_estate,26,bank,own,1,unskilled_res,1,none,yes,0
LT_0DM,12,existing_paid,education,1200,NO_SAVINGS_ACC,1to4YR,4,FEMALE_DIVORCED,none,4,savings,23,bank,rent,1,skilled_office,1,yes,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,707,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,real_estate,30,bank,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,24,delay_in_past,business,2978,NO_SAVINGS_ACC,1to4YR,4,MALE_SINGLE,none,4,real_estate,32,none,own,2,skilled_office,2,yes,yes,0
NO_CHECK_A,15,existing_paid,car_used,4657,lt_100DM,1to4YR,3,MALE_SINGLE,none,2,vehicle,30,none,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,36,no_credit,repairs,2613,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,27,none,own,2,skilled_office,1,none,yes,0
0to200DM,48,existing_paid,radio_tv,10961,GT_1000DM,4to7YR,1,MALE_SINGLE,co-applicant,2,no_property,27,bank,own,2,skilled_office,1,yes,yes,1
LT_0DM,12,existing_paid,furn_equip,7865,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,53,none,for_free,1,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,9,existing_paid,radio_tv,1478,lt_100DM,4to7YR,4,MALE_SINGLE,none,2,vehicle,22,none,own,1,skilled_office,1,none,yes,1
LT_0DM,24,existing_paid,furn_equip,3149,lt_100DM,LT_1YR,4,MALE_SINGLE,none,1,no_property,22,bank,for_free,1,skilled_office,1,none,yes,0
GT_200DM,36,existing_paid,radio_tv,4210,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,26,none,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,9,existing_paid,car_new,2507,500_1000DM,GT_7YR,2,MALE_SINGLE,none,4,no_property,51,none,for_free,1,unskilled_res,1,none,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,2141,100_500DM,4to7YR,3,MALE_SINGLE,none,1,no_property,35,none,own,1,skilled_office,1,none,yes,0
0to200DM,18,existing_paid,radio_tv,866,lt_100DM,1to4YR,4,MALE_MARRIED,guarantor,2,real_estate,25,none,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,4,critical_acc,radio_tv,1544,lt_100DM,4to7YR,2,MALE_SINGLE,none,1,real_estate,42,none,own,3,unskilled_res,2,none,yes,0
LT_0DM,24,existing_paid,radio_tv,1823,lt_100DM,unemployed,4,MALE_SINGLE,none,2,vehicle,30,stores,own,1,mgmt_selfemp,2,none,yes,1
0to200DM,6,existing_paid,car_new,14555,NO_SAVINGS_ACC,unemployed,1,MALE_SINGLE,none,2,savings,23,none,own,1,unskilled_non_res,1,yes,yes,1
0to200DM,21,existing_paid,business,2767,100_500DM,GT_7YR,4,MALE_DIVORCED,none,2,vehicle,61,bank,rent,2,unskilled_res,1,none,yes,1
NO_CHECK_A,12,critical_acc,radio_tv,1291,lt_100DM,1to4YR,4,FEMALE_DIVORCED,none,2,savings,35,none,own,2,skilled_office,1,none,yes,0
LT_0DM,30,existing_paid,radio_tv,2522,lt_100DM,GT_7YR,1,MALE_SINGLE,guarantor,3,savings,39,none,own,1,skilled_office,2,none,yes,0
LT_0DM,24,existing_paid,car_new,915,NO_SAVINGS_ACC,GT_7YR,4,FEMALE_DIVORCED,none,2,vehicle,29,bank,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,6,existing_paid,radio_tv,1595,lt_100DM,4to7YR,3,MALE_SINGLE,none,2,savings,51,none,own,1,skilled_office,2,none,yes,0
LT_0DM,48,no_credit,car_used,4605,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,no_property,24,none,for_free,2,skilled_office,2,none,yes,1
NO_CHECK_A,12,critical_acc,business,1185,lt_100DM,1to4YR,3,FEMALE_DIVORCED,none,2,real_estate,27,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,12,credit_thisbank_paid,retrain,3447,500_1000DM,1to4YR,4,FEMALE_DIVORCED,none,3,real_estate,35,none,own,1,unskilled_res,2,none,yes,0
NO_CHECK_A,24,existing_paid,business,1258,lt_100DM,4to7YR,4,MALE_SINGLE,none,1,real_estate,25,none,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,12,critical_acc,radio_tv,717,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,52,none,own,3,skilled_office,1,none,yes,0
NO_CHECK_A,6,no_credit,car_new,1204,100_500DM,1to4YR,4,MALE_SINGLE,none,1,no_property,35,bank,rent,1,skilled_office,1,none,no,0
GT_200DM,24,existing_paid,furn_equip,1925,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,real_estate,26,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,18,existing_paid,radio_tv,433,lt_100DM,unemployed,3,FEMALE_DIVORCED,co-applicant,4,real_estate,22,none,rent,1,skilled_office,1,none,yes,1
LT_0DM,6,critical_acc,car_new,666,GT_1000DM,4to7YR,3,FEMALE_DIVORCED,none,4,real_estate,39,none,own,2,unskilled_res,1,yes,yes,0
GT_200DM,12,existing_paid,furn_equip,2251,lt_100DM,1to4YR,1,FEMALE_DIVORCED,none,2,vehicle,46,none,own,1,unskilled_res,1,none,yes,0
0to200DM,30,existing_paid,car_new,2150,lt_100DM,1to4YR,4,FEMALE_DIVORCED,guarantor,2,no_property,24,bank,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,24,delay_in_past,furn_equip,4151,100_500DM,1to4YR,2,MALE_SINGLE,none,3,savings,35,none,own,2,skilled_office,1,none,yes,0
0to200DM,9,existing_paid,furn_equip,2030,NO_SAVINGS_ACC,4to7YR,2,MALE_SINGLE,none,1,vehicle,24,none,own,1,skilled_office,1,yes,yes,0
0to200DM,60,delay_in_past,radio_tv,7418,NO_SAVINGS_ACC,1to4YR,1,MALE_SINGLE,none,1,real_estate,27,none,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,24,critical_acc,radio_tv,2684,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,real_estate,35,none,own,2,unskilled_res,1,none,yes,0
LT_0DM,12,credit_thisbank_paid,radio_tv,2149,lt_100DM,1to4YR,4,MALE_DIVORCED,none,1,no_property,29,none,for_free,1,skilled_office,1,none,yes,1
NO_CHECK_A,15,existing_paid,car_used,3812,100_500DM,LT_1YR,1,FEMALE_DIVORCED,none,4,vehicle,23,none,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,11,critical_acc,radio_tv,1154,100_500DM,unemployed,4,FEMALE_DIVORCED,none,4,real_estate,57,none,own,3,unskilled_res,1,none,yes,0
LT_0DM,12,existing_paid,furn_equip,1657,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,real_estate,27,none,own,1,skilled_office,1,none,yes,0
LT_0DM,24,existing_paid,radio_tv,1603,lt_100DM,GT_7YR,4,FEMALE_DIVORCED,none,4,vehicle,55,none,own,1,skilled_office,1,none,yes,0
LT_0DM,18,critical_acc,car_new,5302,lt_100DM,GT_7YR,2,MALE_SINGLE,none,4,no_property,36,none,for_free,3,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,12,critical_acc,education,2748,lt_100DM,GT_7YR,2,FEMALE_DIVORCED,none,4,no_property,57,bank,for_free,3,unskilled_res,1,none,yes,0
NO_CHECK_A,10,critical_acc,car_new,1231,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,real_estate,32,none,own,2,unskilled_res,2,none,no,0
0to200DM,15,existing_paid,radio_tv,802,lt_100DM,GT_7YR,4,MALE_SINGLE,none,3,vehicle,37,none,own,1,skilled_office,2,none,yes,1
NO_CHECK_A,36,critical_acc,business,6304,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,real_estate,36,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,24,existing_paid,radio_tv,1533,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,3,vehicle,38,stores,own,1,skilled_office,1,yes,yes,0
LT_0DM,14,existing_paid,car_new,8978,lt_100DM,GT_7YR,1,MALE_DIVORCED,none,4,savings,45,none,own,1,mgmt_selfemp,1,yes,no,1
NO_CHECK_A,24,existing_paid,radio_tv,999,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,2,vehicle,25,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,18,existing_paid,car_new,2662,NO_SAVINGS_ACC,4to7YR,4,MALE_SINGLE,none,3,savings,32,none,own,1,skilled_office,1,none,no,0
NO_CHECK_A,12,critical_acc,furn_equip,1402,500_1000DM,4to7YR,3,FEMALE_DIVORCED,none,4,vehicle,37,none,rent,1,skilled_office,1,yes,yes,0
0to200DM,48,credit_thisbank_paid,car_new,12169,NO_SAVINGS_ACC,unemployed,4,MALE_SINGLE,co-applicant,4,no_property,36,none,for_free,1,mgmt_selfemp,1,yes,yes,0
0to200DM,48,existing_paid,radio_tv,3060,lt_100DM,4to7YR,4,MALE_SINGLE,none,4,real_estate,28,none,own,2,skilled_office,1,none,yes,1
LT_0DM,30,existing_paid,repairs,11998,lt_100DM,LT_1YR,1,MALE_DIVORCED,none,1,no_property,34,none,own,1,unskilled_res,1,yes,yes,1
NO_CHECK_A,9,existing_paid,radio_tv,2697,lt_100DM,1to4YR,1,MALE_SINGLE,none,2,real_estate,32,none,own,1,skilled_office,2,none,yes,0
NO_CHECK_A,18,critical_acc,radio_tv,2404,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,2,vehicle,26,none,own,2,skilled_office,1,none,yes,0
LT_0DM,12,existing_paid,furn_equip,1262,NO_SAVINGS_ACC,GT_7YR,2,MALE_DIVORCED,none,4,savings,49,none,own,1,unskilled_res,1,yes,yes,0
NO_CHECK_A,6,existing_paid,furn_equip,4611,lt_100DM,LT_1YR,1,FEMALE_DIVORCED,none,4,savings,32,none,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,24,existing_paid,radio_tv,1901,100_500DM,1to4YR,4,MALE_SINGLE,none,4,vehicle,29,none,rent,1,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,15,critical_acc,car_used,3368,GT_1000DM,GT_7YR,3,MALE_SINGLE,none,4,no_property,23,none,rent,2,skilled_office,1,yes,yes,0
NO_CHECK_A,12,existing_paid,furn_equip,1574,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,real_estate,50,none,own,1,skilled_office,1,none,yes,0
GT_200DM,18,credit_thisbank_paid,radio_tv,1445,NO_SAVINGS_ACC,4to7YR,4,MALE_SINGLE,none,4,vehicle,49,bank,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,15,critical_acc,furn_equip,1520,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,savings,63,none,own,1,skilled_office,1,none,yes,0
0to200DM,24,critical_acc,car_new,3878,100_500DM,LT_1YR,4,MALE_DIVORCED,none,2,vehicle,37,none,own,1,skilled_office,1,yes,yes,0
LT_0DM,47,existing_paid,car_new,10722,lt_100DM,LT_1YR,1,FEMALE_DIVORCED,none,1,real_estate,35,none,own,1,unskilled_res,1,yes,yes,0
LT_0DM,48,existing_paid,car_used,4788,lt_100DM,4to7YR,4,MALE_SINGLE,none,3,savings,26,none,own,1,skilled_office,2,none,yes,0
0to200DM,48,delay_in_past,car_used0,7582,100_500DM,unemployed,2,MALE_SINGLE,none,4,no_property,31,none,for_free,1,mgmt_selfemp,1,yes,yes,0
0to200DM,12,existing_paid,radio_tv,1092,lt_100DM,1to4YR,4,FEMALE_DIVORCED,guarantor,4,real_estate,49,none,own,2,skilled_office,1,yes,yes,0
LT_0DM,24,delay_in_past,radio_tv,1024,lt_100DM,LT_1YR,4,MALE_MARRIED,none,4,real_estate,48,stores,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,12,existing_paid,business,1076,lt_100DM,1to4YR,2,MALE_MARRIED,none,2,real_estate,26,none,own,1,skilled_office,1,yes,no,0
0to200DM,36,existing_paid,car_used,9398,lt_100DM,LT_1YR,1,MALE_MARRIED,none,4,vehicle,28,none,rent,1,mgmt_selfemp,1,yes,yes,1
LT_0DM,24,critical_acc,car_used,6419,lt_100DM,GT_7YR,2,FEMALE_DIVORCED,none,4,no_property,44,none,for_free,2,mgmt_selfemp,2,yes,yes,0
GT_200DM,42,critical_acc,car_used,4796,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,56,none,for_free,1,skilled_office,1,none,yes,0
NO_CHECK_A,48,critical_acc,business,7629,NO_SAVINGS_ACC,GT_7YR,4,MALE_DIVORCED,none,2,vehicle,46,bank,own,2,mgmt_selfemp,2,none,yes,0
0to200DM,48,existing_paid,furn_equip,9960,lt_100DM,LT_1YR,1,FEMALE_DIVORCED,none,2,vehicle,26,none,own,1,skilled_office,1,yes,yes,1
NO_CHECK_A,12,existing_paid,car_used,4675,NO_SAVINGS_ACC,LT_1YR,1,FEMALE_DIVORCED,none,4,vehicle,20,none,rent,1,skilled_office,1,none,yes,0
NO_CHECK_A,10,existing_paid,car_new,1287,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,co-applicant,2,savings,45,none,own,1,unskilled_res,1,none,no,0
NO_CHECK_A,18,existing_paid,furn_equip,2515,lt_100DM,1to4YR,3,MALE_SINGLE,none,4,real_estate,43,none,own,1,skilled_office,1,yes,yes,0
0to200DM,21,critical_acc,furn_equip,2745,GT_1000DM,4to7YR,3,MALE_SINGLE,none,2,vehicle,32,none,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,6,existing_paid,car_new,672,lt_100DM,unemployed,1,FEMALE_DIVORCED,none,4,real_estate,54,none,own,1,unskilled_non_res,1,yes,yes,0
0to200DM,36,no_credit,radio_tv,3804,lt_100DM,1to4YR,4,FEMALE_DIVORCED,none,1,vehicle,42,none,own,1,skilled_office,1,yes,yes,1
GT_200DM,24,critical_acc,car_new,1344,NO_SAVINGS_ACC,4to7YR,4,MALE_SINGLE,none,2,real_estate,37,bank,own,2,unskilled_res,2,none,yes,1
LT_0DM,10,critical_acc,car_new,1038,lt_100DM,4to7YR,4,MALE_SINGLE,co-applicant,3,savings,49,none,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,48,critical_acc,car_new,10127,500_1000DM,1to4YR,2,MALE_SINGLE,none,2,no_property,44,bank,for_free,1,skilled_office,1,none,yes,1
NO_CHECK_A,6,existing_paid,furn_equip,1543,GT_1000DM,1to4YR,4,MALE_DIVORCED,none,2,real_estate,33,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,30,existing_paid,car_used,4811,NO_SAVINGS_ACC,4to7YR,2,FEMALE_DIVORCED,none,4,savings,24,stores,rent,1,unskilled_res,1,none,yes,0
LT_0DM,12,existing_paid,radio_tv,727,100_500DM,LT_1YR,4,MALE_MARRIED,none,3,no_property,33,none,own,1,unskilled_res,1,yes,yes,1
0to200DM,8,existing_paid,furn_equip,1237,lt_100DM,1to4YR,3,FEMALE_DIVORCED,none,4,real_estate,24,none,own,1,skilled_office,1,none,yes,1
0to200DM,9,existing_paid,car_new,276,lt_100DM,1to4YR,4,MALE_MARRIED,none,4,real_estate,22,none,rent,1,unskilled_res,1,none,yes,0
0to200DM,48,existing_paid,car_used0,5381,NO_SAVINGS_ACC,unemployed,3,MALE_SINGLE,none,4,no_property,40,bank,for_free,1,unskilled_non_res,1,yes,yes,0
NO_CHECK_A,24,existing_paid,furn_equip,5511,100_500DM,1to4YR,4,MALE_SINGLE,none,1,vehicle,25,stores,own,1,skilled_office,1,none,yes,0
GT_200DM,24,existing_paid,furn_equip,3749,lt_100DM,LT_1YR,2,FEMALE_DIVORCED,none,4,vehicle,26,none,own,1,skilled_office,1,none,yes,0
0to200DM,12,existing_paid,car_new,685,lt_100DM,4to7YR,2,MALE_MARRIED,none,3,vehicle,25,bank,own,1,unskilled_res,1,none,yes,1
GT_200DM,4,existing_paid,car_new,1494,NO_SAVINGS_ACC,LT_1YR,1,MALE_SINGLE,none,2,real_estate,29,none,own,1,unskilled_res,2,none,no,0
LT_0DM,36,credit_thisbank_paid,furn_equip,2746,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,31,bank,own,1,skilled_office,1,none,yes,1
LT_0DM,12,existing_paid,furn_equip,708,lt_100DM,1to4YR,2,MALE_SINGLE,guarantor,3,savings,38,none,own,1,unskilled_res,2,none,yes,0
0to200DM,24,existing_paid,furn_equip,4351,NO_SAVINGS_ACC,1to4YR,1,FEMALE_DIVORCED,none,4,savings,48,none,own,1,unskilled_res,1,yes,yes,0
NO_CHECK_A,12,critical_acc,education,701,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,32,none,own,2,skilled_office,1,none,yes,0
LT_0DM,15,delay_in_past,furn_equip,3643,lt_100DM,GT_7YR,1,FEMALE_DIVORCED,none,4,savings,27,none,own,2,unskilled_res,1,none,yes,0
0to200DM,30,critical_acc,car_new,4249,lt_100DM,unemployed,4,MALE_MARRIED,none,2,vehicle,28,none,own,2,mgmt_selfemp,1,none,yes,1
LT_0DM,24,existing_paid,radio_tv,1938,lt_100DM,LT_1YR,4,MALE_DIVORCED,none,3,savings,32,none,own,1,skilled_office,1,none,yes,1
LT_0DM,24,existing_paid,car_used,2910,lt_100DM,4to7YR,2,MALE_SINGLE,none,1,no_property,34,none,for_free,1,mgmt_selfemp,1,yes,yes,0
LT_0DM,18,existing_paid,furn_equip,2659,GT_1000DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,28,none,own,1,skilled_office,1,none,yes,0
